,CMPLNT_FR_TM,RPT_DT,OFNS_DESC,BORO_NM,Lat_Lon
5300067,19:15:00,08/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.736984449, -73.809998125)"
5302973,07:20:00,07/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.738838819, -73.926700862)"
5303200,01:20:00,07/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.681803475, -73.923789039)"
5306348,08:00:00,07/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.694566924, -73.943244108)"
5306350,23:40:00,07/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.764463103, -73.831774379)"
5307229,04:03:00,07/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.67013835, -73.908925194)"
5307415,04:03:00,07/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.67013835, -73.908925194)"
5309369,21:37:00,07/25/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.692389705, -73.793764553)"
5309949,05:05:00,07/25/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.845984791, -73.907462791)"
5309950,05:05:00,07/25/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.845984791, -73.907462791)"
5310007,02:44:00,07/25/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.870142434, -73.869305409)"
5312814,01:45:00,07/23/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.831578538, -73.927697229)"
5313479,19:19:00,07/22/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.618091468, -74.027852316)"
5315465,06:00:00,07/21/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.839739531, -73.913178032)"
5315622,00:02:00,07/21/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.695140908, -73.975125947)"
5316972,01:25:00,07/20/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.689111202, -73.945058895)"
5317605,23:53:00,07/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.819856355, -73.920140835)"
5317712,20:17:00,07/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.67500776, -74.006577149)"
5319567,12:12:00,07/18/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.672789843, -73.773651622)"
5321139,04:11:00,07/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.764694063, -73.914348014)"
5321217,02:17:00,07/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.651998977, -73.944869621)"
5322481,02:17:00,07/16/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.815720251, -73.864502585)"
5323846,00:14:00,07/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.682140409, -73.826891092)"
5328574,00:45:00,07/12/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.863291107, -73.889806842)"
5329886,04:38:00,07/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.83797773, -73.885255456)"
5330709,00:40:00,07/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.680536156, -73.957086365)"
5331821,02:11:00,07/09/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.88443116, -73.833004197)"
