,CMPLNT_FR_TM,RPT_DT,OFNS_DESC,BORO_NM,Lat_Lon
5523092,19:20:00,02/16/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.685077953, -73.927993087)"
5524106,21:20:00,02/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.637483796, -74.00749944)"
5524193,18:50:00,02/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.65149337, -73.924533616)"
5526049,17:45:00,02/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.642006612, -73.9017029)"
5526474,03:00:00,02/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.817503461, -73.941975939)"
5528206,21:39:00,02/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.662692805, -73.88830716)"
5529260,08:54:00,02/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.608391809, -74.14661153)"
5529781,08:54:00,02/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.608391809, -74.14661153)"
5530009,08:54:00,02/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.608391809, -74.14661153)"
5532624,02:21:00,02/08/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.853064489, -73.868944957)"
5535538,21:35:00,02/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.750331537, -73.792130675)"
5535618,19:15:00,02/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.827668623, -73.925435892)"
5539466,21:42:00,02/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.643647334, -73.952688708)"
5540938,11:00:00,02/02/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.88905357, -73.851325713)"
5547233,16:35:00,01/20/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.706860328, -73.948196631)"
5547289,23:40:00,01/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.803393591, -73.938145012)"
5547859,10:50:00,01/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.596213982, -73.764700204)"
5551006,16:07:00,01/24/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.811393119, -73.922314872)"
5551524,19:54:00,01/23/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.644590276, -74.001900465)"
5552699,09:07:00,01/22/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.684792115, -73.878556569)"
5553484,20:30:00,01/21/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.857922634, -73.892895732)"
5554466,22:06:00,01/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.676231908, -74.006944997)"
5558574,21:17:00,01/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.576124128, -73.99982505)"
5560066,15:15:00,01/16/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.661079525, -73.894822924)"
5560572,00:40:00,01/16/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.606404746, -74.120479003)"
5562837,14:36:00,01/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.548991392, -74.230271459)"
5564159,14:48:00,01/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.66475956, -73.894042144)"
5566757,13:29:00,01/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.679907552, -73.920784329)"
5566910,09:08:00,01/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.68190669, -73.89458817)"
5566967,07:40:00,01/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.676487297, -73.837065184)"
5568266,03:32:00,01/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.683276253, -73.930623478)"
5568784,23:22:00,01/09/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.66156215, -73.925945955)"
5573574,08:21:00,01/06/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.674601815, -73.938614149)"
5575826,11:00:00,01/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.873601668, -73.845603792)"
5575942,04:25:00,01/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.883927913, -73.901323524)"
5578703,22:55:00,01/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.687140512, -73.856146091)"
